"";"NUMID";"VPDIF";"SEGM";"NETWDIF";"REVDIF";"SPINDIF";"INTCULT";"CP";"BP";"BAL";"NOBP";"NOCP";"BOTHLOW"
"1";1;0,498;0,876;0,123;0,498;0,019;0,726;0,618;0,578;0.578;0.422;0.382;0.382
"2";2;0,726;0,726;0,876;0,95;0,019;0,726;0,937;0,418;0.418;0.582;0.063;0.063
"3";3;0,876;0,726;0,726;0,726;0,019;0,813;0,726;0,271;0.271;0.726;0.271;0.274
"4";4;0,876;0,726;0,271;0,876;0,726;0,498;0,226;0,657;0.226;0.226;0.657;0.343
"5";5;0,498;0,726;0,05;0,123;0,019;0,618;0,772;0,657;0.657;0.343;0.228;0.228
"6";6;0,498;0,726;0,726;0,726;0,876;0,726;0,675;0,578;0.578;0.422;0.325;0.325
"7";7;0,876;0,95;0,05;0,05;0,019;0,123;0,772;0,657;0.657;0.343;0.228;0.228
"8";8;0,05;0,05;0,498;0,05;0,019;0,498;0,378;0,657;0.378;0.343;0.622;0.343
"9";9;0,123;0,498;0,123;0,123;0,05;0,876;0,675;0,657;0.657;0.343;0.325;0.325
"10";10;0,726;0,726;0,498;0,498;0,019;0,498;0,726;0,418;0.418;0.582;0.274;0.274
"11";11;0,95;0,05;0,05;0,726;0,019;0,726;0,847;0,123;0.123;0.847;0.123;0.153
"12";12;0,876;0,876;0,726;0,726;0,271;0,726;0,726;0,34;0.34;0.66;0.274;0.274
"13";13;0,498;0,123;0,123;0,498;0,019;0,271;0,618;0,418;0.418;0.582;0.382;0.382
"14";14;0,95;0,95;0,95;0,95;0,95;0,95;0,618;0,498;0.498;0.502;0.382;0.382
"15";15;0,876;0,123;0,726;0,726;0,019;0,271;0,813;0,418;0.418;0.582;0.187;0.187
"16";16;0,95;0,95;0,95;0,95;0,726;0,813;0,726;0,34;0.34;0.66;0.274;0.274
"17";17;0,498;0,876;0,95;0,876;0,019;0,813;0,498;0,498;0.498;0.498;0.498;0.502
"18";18;0,271;0,876;0,498;0,876;0,019;0,726;0,726;0,418;0.418;0.582;0.274;0.274
"19";19;0,498;0,726;0,498;0,726;0,019;0,726;0,618;0,498;0.498;0.502;0.382;0.382
"20";20;0,05;0,123;0,05;0,05;0,019;0,618;0,675;0,271;0.271;0.675;0.271;0.325
"21";21;0,05;0,498;0,05;0,05;0,019;0,05;0,378;0,418;0.378;0.378;0.418;0.582
"22";22;0,726;0,95;0,876;0,498;0,019;0,813;0,876;0,498;0.498;0.502;0.124;0.124
"23";23;0,123;0,876;0,726;0,123;0,019;0,271;0,675;0,34;0.34;0.66;0.325;0.325
"24";24;0,95;0,95;0,271;0,876;0,05;0,95;0,95;0,34;0.34;0.66;0.05;0.05
"25";25;0,876;0,876;0,726;0,498;0,019;0,876;0,498;0,271;0.271;0.498;0.271;0.502
"26";26;0,498;0,498;0,498;0,498;0,019;0,498;0,498;0,498;0.498;0.498;0.498;0.502
"27";27;0,123;0,726;0,05;0,123;0,019;0,498;0,378;0,578;0.378;0.378;0.578;0.422
"28";28;0,876;0,876;0,95;0,876;0,019;0,618;0,876;0,657;0.657;0.343;0.124;0.124
"29";29;0,123;0,876;0,498;0,726;0,019;0,498;0,675;0,657;0.657;0.343;0.325;0.325
"30";30;0,876;0,95;0,498;0,876;0,95;0,618;0,152;0,271;0.152;0.152;0.271;0.729
"31";31;0,95;0,05;0,95;0,95;0,019;0,95;0,675;0,05;0.05;0.675;0.05;0.325
"32";32;0,123;0,726;0,95;0,726;0,019;0,726;0,186;0,212;0.186;0.186;0.212;0.788
"33";33;0,95;0,876;0,876;0,876;0,019;0,876;0,618;0,498;0.498;0.502;0.382;0.382
"34";34;0,726;0,726;0,498;0,726;0,019;0,813;0,847;0,123;0.123;0.847;0.123;0.153
"35";35;0,876;0,876;0,123;0,271;0,019;0,813;0,813;0,657;0.657;0.343;0.187;0.187
"36";36;0,05;0,05;0,876;0,95;0,95;0,95;0,921;0,34;0.34;0.66;0.079;0.079
"37";37;0,726;0,271;0,726;0,498;0,019;0,618;0,876;0,726;0.726;0.274;0.124;0.124
"38";38;0,123;0,123;0,123;0,123;0,019;0,726;0,675;0,498;0.498;0.502;0.325;0.325
"39";39;0,876;0,876;0,95;0,876;0,019;0,95;0,95;0,837;0.837;0.163;0.05;0.05
"40";40;0,498;0,876;0,05;0,726;0,019;0,921;0,437;0,162;0.162;0.437;0.162;0.563
"41";41;0,123;0,05;0,876;0,05;0,019;0,498;0,618;0,657;0.618;0.343;0.382;0.343
"42";42;0,123;0,123;0,123;0,876;0,876;0,079;0,772;0,95;0.772;0.05;0.228;0.05
"43";43;0,876;0,876;0,271;0,876;0,95;0,876;0,847;0,123;0.123;0.847;0.123;0.153
"44";44;0,876;0,726;0,876;0,271;0,019;0,921;0,618;0,498;0.498;0.502;0.382;0.382
"45";45;0,876;0,726;0,05;0,95;0,019;0,498;0,901;0,068;0.068;0.901;0.068;0.099
"46";46;0,498;0,498;0,05;0,05;0,019;0,921;0,378;0,418;0.378;0.378;0.418;0.582
"47";47;0,876;0,95;0,498;0,876;0,019;0,378;0,618;0,578;0.578;0.422;0.382;0.382
"48";48;0,05;0,271;0,123;0,726;0,019;0,271;0,901;0,34;0.34;0.66;0.099;0.099
"49";49;0,726;0,726;0,271;0,271;0,876;0,726;0,726;0,578;0.578;0.422;0.274;0.274
"50";50;0,498;0,726;0,123;0,498;0,876;0,726;0,675;0,498;0.498;0.502;0.325;0.325
"51";51;0,726;0,271;0,726;0,726;0,019;0,726;0,772;0,498;0.498;0.502;0.228;0.228
"52";52;0,271;0,726;0,95;0,271;0,019;0,95;0,95;0,786;0.786;0.214;0.05;0.05
"53";53;0,123;0,123;0,123;0,123;0,019;0,813;0,618;0,271;0.271;0.618;0.271;0.382
"54";54;0,726;0,95;0,123;0,726;0,019;0,876;0,559;0,498;0.498;0.502;0.441;0.441
"55";55;0,498;0,271;0,123;0,05;0,019;0,05;0,05;0,068;0.05;0.05;0.068;0.932
"56";56;0,876;0,123;0,123;0,498;0,019;0,876;0,498;0,726;0.498;0.274;0.502;0.274
"57";57;0,271;0,876;0,876;0,95;0,95;0,726;0,937;0,498;0.498;0.502;0.063;0.063
"58";58;0,271;0,876;0,05;0,498;0,019;0,876;0,498;0,498;0.498;0.498;0.498;0.502
"59";59;0,876;0,876;0,123;0,876;0,019;0,618;0,813;0,837;0.813;0.163;0.187;0.163
"60";60;0,726;0,876;0,123;0,123;0,95;0,921;0,437;0,162;0.162;0.437;0.162;0.563
"61";61;0,876;0,05;0,05;0,726;0,019;0,186;0,498;0,498;0.498;0.498;0.498;0.502
"62";62;0,498;0,498;0,271;0,498;0,019;0,498;0,559;0,578;0.559;0.422;0.441;0.422
"63";63;0,95;0,95;0,498;0,876;0,019;0,05;0,498;0,212;0.212;0.498;0.212;0.502
"64";64;0,726;0,95;0,123;0,726;0,95;0,726;0,498;0,498;0.498;0.498;0.498;0.502
"65";65;0,498;0,726;0,123;0,123;0,019;0,271;0,498;0,498;0.498;0.498;0.498;0.502
"66";66;0,95;0,271;0,05;0,05;0,95;0,618;0,498;0,726;0.498;0.274;0.502;0.274
"67";67;0,498;0,498;0,271;0,726;0,95;0,618;0,437;0,578;0.437;0.422;0.563;0.422
"68";68;0,876;0,271;0,123;0,726;0,876;0,876;0,876;0,578;0.578;0.422;0.124;0.124
"69";69;0,95;0,726;0,95;0,726;0,019;0,271;0,921;0,578;0.578;0.422;0.079;0.079
"70";70;0,876;0,271;0,498;0,876;0,019;0,876;0,618;0,578;0.578;0.422;0.382;0.382
"71";71;0,95;0,95;0,05;0,05;0,019;0,813;0,901;0,837;0.837;0.163;0.099;0.099
"72";72;0,726;0,95;0,95;0,876;0,019;0,726;0,378;0,786;0.378;0.214;0.622;0.214
"73";73;0,498;0,95;0,498;0,726;0,019;0,876;0,618;0,498;0.498;0.502;0.382;0.382
"74";74;0,876;0,876;0,95;0,726;0,019;0,876;0,675;0,498;0.498;0.502;0.325;0.325
"75";75;0,95;0,95;0,95;0,95;0,019;0,95;0,726;0,418;0.418;0.582;0.274;0.274
"76";76;0,876;0,876;0,271;0,05;0,019;0,123;0,322;0,418;0.322;0.322;0.418;0.582
