"","Original name","Recoded name","Question asked"
"2","Q1_1","Company","Company name"
"3","Q1_2","Position","Position of the respondent"
"4","Q1_3","ActivityDescription","Description of firm's activity"
"5","Q1_4","Employees","Nr. of employees"
"6","Q1_8","FTE","Nr. of FTEs"
"7","Q1_5","Year","Founding year"
"8","Q1_6","NrOffices","Nr. of Office"
"9","Q1_7","Location","Location of Offices"
"10","Q2_BM1_1","bm1_SpecificCreative","Our firm offers services based on knowledge and expertise in a specific creative sub-discipline (for instance, graphic design, audiovisual services)"
"11","Q2_BM1_2","bm1_CreativeCombi","Our firm offers services based on knowledge and expertise in a combination of several creative sub-disciplines (an all-around creative agency)"
"12","Q2_BM1_3","bm1_CreativeNoncreative","OUr firm offers services based on a combination of creative and non-creative disciplines (e.g. data analysis, manufacturing)"
"13","Q3_BM2_1","bm2_ResearchStrategy","We offer services that include research and strategy"
"14","Q3_BM2_2","bm2_ConceptDev","We offer services that include creative concept development"
"15","Q3_BM2_3","bm2_ProductionImplementation","We offer services that include production and/or implementation"
"16","Q3_BM2_4","bm2_Marketing","We offer services that include sales, marketing and/or distribution"
"17","Q4_BM3_1","bm3_OwnProducts","We offer own products"
"18","Q4_BM3_2","bm3_Services","We offer services"
"19","Q4_BM3_3","bm3_Platforms","We offer service platforms (bringing several parties together)"
"20","Q5_BM4_1","bm4_Customized","Our service offering consists of highly customized services and products"
"21","Q5_BM4_2","bm4_Modular","Our service offering consists of modular services and products (can be broken down into smaller components, offered separately, mixed and matched)"
"22","Q5_BM4_3","bm4_Maintenance","Our service offering consists of maintenance and service-level agreements"
"23","Q6_BM5_1","bm5_OperationalExellence","We differentiate ourselves from our competitors with image of operational excellence"
"24","Q6_BM5_2","bm5_Quality","We differentiate ourselves from our competitors with product and/ or service quality"
"25","Q6_BM5_3","bm5_Innovation","We differentiate ourselves from our competitors with leadership in innovation and/or creativity"
"26","Q6_BM5_4","bm5_LowCost","We differentiate ourselves from our competitors with low cost/ efficiency"
"27","Q6_BM5_5","bm5_CustomerRelations","We differentiate ourselves from our competitors with close customer relationships"
"28","Q8_BM7_1","bm6_Niche","We create value for niche markets (applying our expertise in particular client sectors, segments)"
"29","Q8_BM7_2","bm6_GenMarkets","We create value for general markets with no specific specialization"
"30","Q8_BM7_3","bm6_B2B","We create value for business-to-business"
"31","Q8_BM7_4","bm6_B2C","We create value for business-to-consumer"
"32","Q8_BM7_5","bm6_B2G","We create value for business-to-government"
"33","Q9_BM8_1","bm7_InHouse","In order to deliver our services/ products, we acquire and develop the resources needed in-house"
"34","Q9_BM8_2","bm7_Outsource","In order to deliver our services/ products, we outsource the resources that are needed to external parties"
"35","Q10_BM9_1","bm8_Suppliers","The key partners need in order to create our offering are suppliers"
"36","Q10_BM9_2","bm8_Complementors","The key partners need in order to create our offering are complementors,  (companies that sell products or services that complement ours, e.g. front-end development)"
"37","Q10_BM9_3","bm8_Competitors","The key partners need in order to create our offering are competitors"
"38","Q10_BM9_4","bm8_CustomersCo","The key partners need in order to create our offering are customers as co-creators"
"39","Q10_BM9_5","bm8_ScalingPartners","The key partners need in order to create our offering are partners for scaling up our business"
"40","Q11_BM10_1","bm9_HourlyRates","Hourly rates are an important part of our revenue model"
"41","Q11_BM10_2","bm9_Royalties","Royalties are an important part of our revenue model"
"42","Q11_BM10_3","bm9_ProductSales","Product sales are an important part of our revenue model"
"43","Q11_BM10_4","bm9_Subscriptions","Licenses, subsriptions and usage fees are an important part of our revenue model"
"44","Q11_BM10_5","bm9_MarkUp","Mark up (margins on reselling) are an important part of our revenue model"
"45","Q11_BM10_7","bm9_NoCure","No cure, no pay arrangements are an important part of our revenue model"
"46","Q11_BM10_8","bm9_Investment","Investing our time or money in other enterprises are an important part of our revenue model"
